Country code,State,Postcode,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,NY,10258,,8.88,NY10258,1,0,1,
US,NY,10259,,8.88,NY10259,1,0,1,
US,NY,10260,,8.88,NY10260,1,0,1,
US,NY,10261,,8.88,NY10261,1,0,1,
US,NY,10265,,8.88,NY10265,1,0,1,
US,NY,10268,,8.88,NY10268,1,0,1,
US,NY,10269,,8.88,NY10269,1,0,1,
US,NY,10270,,8.88,NY10270,1,0,1,
US,NY,10271,,8.88,NY10271,1,0,1,
US,NY,10272,,8.88,NY10272,1,0,1,
US,NY,10273,,8.88,NY10273,1,0,1,
US,NY,10274,,8.88,NY10274,1,0,1,
US,NY,10275,,8.88,NY10275,1,0,1,
US,NY,10276,,8.88,NY10276,1,0,1,
US,NY,10277,,8.88,NY10277,1,0,1,
US,NY,10278,,8.88,NY10278,1,0,1,
US,NY,10279,,8.88,NY10279,1,0,1,
US,NY,10280,,8.88,NY10280,1,0,1,
US,NY,10281,,8.88,NY10281,1,0,1,
US,NY,10282,,8.88,NY10282,1,0,1,
US,NY,10285,,8.88,NY10285,1,0,1,
US,NY,10286,,8.88,NY10286,1,0,1,
US,NY,10301,,8.88,NY10301,1,0,1,
US,NY,10302,,8.88,NY10302,1,0,1,
US,NY,10303,,8.88,NY10303,1,0,1,
US,NY,10304,,8.88,NY10304,1,0,1,
US,NY,10305,,8.88,NY10305,1,0,1,
US,NY,10306,,8.88,NY10306,1,0,1,
US,NY,10307,,8.88,NY10307,1,0,1,
US,NY,10308,,8.88,NY10308,1,0,1,
US,NY,10309,,8.88,NY10309,1,0,1,
US,NY,10310,,8.88,NY10310,1,0,1,
US,NY,10311,,8.88,NY10311,1,0,1,
US,NY,10312,,8.88,NY10312,1,0,1,
US,NY,10313,,8.88,NY10313,1,0,1,
US,NY,10314,,8.88,NY10314,1,0,1,
US,NY,10451,,8.88,NY10451,1,0,1,
US,NY,10452,,8.88,NY10452,1,0,1,
US,NY,10453,,8.88,NY10453,1,0,1,
US,NY,10454,,8.88,NY10454,1,0,1,
US,NY,10455,,8.88,NY10455,1,0,1,
US,NY,10456,,8.88,NY10456,1,0,1,
US,NY,10457,,8.88,NY10457,1,0,1,
US,NY,10458,,8.88,NY10458,1,0,1,
US,NY,10459,,8.88,NY10459,1,0,1,
US,NY,10460,,8.88,NY10460,1,0,1,
US,NY,10461,,8.88,NY10461,1,0,1,
US,NY,10462,,8.88,NY10462,1,0,1,
US,NY,10463,,8.88,NY10463,1,0,1,
US,NY,10464,,8.88,NY10464,1,0,1,
US,NY,10465,,8.88,NY10465,1,0,1,
US,NY,10466,,8.88,NY10466,1,0,1,
US,NY,10467,,8.88,NY10467,1,0,1,
US,NY,10468,,8.88,NY10468,1,0,1,
US,NY,10469,,8.88,NY10469,1,0,1,
US,NY,10470,,8.88,NY10470,1,0,1,
US,NY,10471,,8.88,NY10471,1,0,1,
US,NY,10472,,8.88,NY10472,1,0,1,
US,NY,10473,,8.88,NY10473,1,0,1,
US,NY,10474,,8.88,NY10474,1,0,1,
US,NY,10475,,8.88,NY10475,1,0,1,
US,NY,10501,,8.38,NY10501,1,0,1,
US,NY,10502,,8.38,NY10502,1,0,1,
US,NY,10503,,8.38,NY10503,1,0,1,
US,NY,10504,,8.38,NY10504,1,0,1,
US,NY,10505,,8.38,NY10505,1,0,1,
US,NY,10506,,8.38,NY10506,1,0,1,
US,NY,10507,,8.38,NY10507,1,0,1,
US,NY,10509,,8.38,NY10509,1,0,1,
US,NY,10510,,8.38,NY10510,1,0,1,
US,NY,10511,,8.38,NY10511,1,0,1,
US,NY,10512,,8.38,NY10512,1,0,1,
US,NY,10514,,8.38,NY10514,1,0,1,
US,NY,10516,,8.38,NY10516,1,0,1,
US,NY,10517,,8.38,NY10517,1,0,1,
US,NY,10518,,8.38,NY10518,1,0,1,
US,NY,10519,,8.38,NY10519,1,0,1,
US,NY,10520,,8.38,NY10520,1,0,1,
US,NY,10521,,8.38,NY10521,1,0,1,
US,NY,10522,,8.38,NY10522,1,0,1,
